user_id,purchase_timestamp,purchase_amount
70118,1691806458591073,2.6595
75341,1691840142897945,2.7715
56594,1691842146981972,1.6744999999999999
72659,1691820790221024,2.364
73903,1691865329709843,4.393
58753,1691877938039941,4.7749999999999995
55589,1691883107357597,5.61
54440,1691865049908369,8.360499999999998
74260,1691801515796050,0.9594999999999999
12482,1691872225538644,2.6595
12229,1691838258626699,2.6595
2366,1691841739462768,1.9124999999999999
55443,1691863303534933,4.7749999999999995
74260,1691801493177903,3.129
64735,1691813930258893,9.8145
41312,1691839652405588,10.003499999999999
17766,1691874351834539,11.706999999999999
74889,1691871869482832,12.7575
19769,1691851326126612,14.674
58467,1691845552106618,13.398
17944,1691875823217361,11.339999999999998
74285,1691809172234725,0.792
73903,1691802926663878,1.071
17944,1691817319983118,3.48
17944,1691800502852281,4.9005
17944,1691830874116379,5.8534999999999995
70412,1691876064607738,9.823
70014,1691850838129082,12.239999999999998
74889,1691853929909044,6.906499999999999
71909,1691879140085161,7.101
52816,1691880582954673,7.007000000000001
71791,1691817672041481,4.471
16717,1691855314184669,10.846
23117,1691866619377602,14.674
62014,1691816267904782,10.857
72396,1691808569048284,10.867499999999998
53322,1691855951625293,9.671
58467,1691842873383554,17.226
54440,1691879869949775,8.032499999999999
54440,1691880746424154,12.7575
51334,1691840144245128,14.036000000000001
53322,1691853933440338,20.622
58141,1691800976853873,21.604000000000003
4263,1691838873478131,99.9875
11762,1691872291216910,10.689
40069,1691864027164123,12.089
10104,1691838945057978,10.4405
20198,1691869253221684,13.0135
74889,1691829730174912,11.8125
75445,1691850351331691,14.036000000000001
25006,1691823798545608,124.9875
25006,1691811000845540,104.98949999999999
54550,1691808331098202,1.8715
54550,1691808044530735,2.364
54983,1691843787251696,2.0685000000000002
12709,1691839111571271,37.4875
13442,1691852767780032,32.989000000000004
13528,1691840695943724,37.4875
25753,1691825972643045,11.350499999999998
54440,1691883895817978,12.7575
2366,1691805755349469,2.1374999999999997
48335,1691867354421337,5.928
75341,1691841101821267,16.9765
68076,1691821762568523,14.6895
57406,1691861487615718,18.7375
40050,1691875765078687,32.989000000000004
12927,1691867491135413,67.4865
11941,1691816372182782,62.487500000000004
78019,1692181869569581,2.6950000000000003
86999,1692195446210984,1.6744999999999999
68602,1692145568559432,3.4294999999999995
72485,1692162507043604,4.332
55994,1692183172878751,3.4675
86232,1692162220808376,1.6625
71815,1692219974986257,1.4080000000000001
79873,1692223876040073,1.6
78019,1692179908836091,1.216
86410,1692180494211373,2.1670000000000003
54338,1692172898351420,5.687
30463,1692221568850121,4.3945
19422,1692228016155365,3.4675
75341,1692186203197247,6.048
63005,1692213820604397,6.804
11762,1692217067164391,3.8094999999999994
39534,1692154993208604,4.015000000000001
54338,1692172869223854,10.476
30463,1692221539447710,7.372
78365,1692187955697186,7.659
38948,1692152847254581,5.661
85081,1692149807879139,9.8325
62014,1692226453936740,9.093
40531,1692158403247644,9.855
60970,1692198015432167,9.8325
79720,1692167887548066,13.587
39534,1692155341241179,9.964500000000001
17944,1692170963997339,9.0155
17766,1692215755756405,1.6744999999999999
43164,1692197858615471,8.5455
68457,1692218063730295,5.0634999999999994
52816,1692228196136359,7.106000000000001
33405,1692198253032431,5.596500000000001
69909,1692218374206475,5.491
39782,1692218764447806,7.3395
17766,1692215771368919,7.2765
30491,1692226430649822,5.9415000000000004
86558,1692181715495703,5.566
84462,1692197030352757,9.7
10333,1692202184822568,8.924
34417,1692146134800829,6.132
43231,1692178654129822,7.659
81235,1692152068325455,6.993
66239,1692206204783346,8.388
64411,1692193856214723,8.388
